sample_id	condition	day	groups
A1E1	Editted	Adult_day1	AdultE
A1E2	Editted	Adult_day1	AdultE
A1E3	Editted	Adult_day1	AdultE
A1E4	Editted	Adult_day1	AdultE
P3E1	Editted	Pupa_day3	PupaE
P3E2	Editted	Pupa_day3	PupaE
P3E3	Editted	Pupa_day3	PupaE
P3E4	Editted	Pupa_day3	PupaE
PP2E1	Editted	Prepupa_day2	PrepupaE
PP2E2	Editted	Prepupa_day2	PrepupaE
PP2E3	Editted	Prepupa_day2	PrepupaE
L6E1	Editted	Larva_day6	LarvaE
L6E2	Editted	Larva_day6	LarvaE
L6E3	Editted	Larva_day6	LarvaE
L6E4	Editted	Larva_day6	LarvaE
A1C1	Control	Adult_day1	AdultC
A1C2	Control	Adult_day1	AdultC
A1C3	Control	Adult_day1	AdultC
P3C1	Control	Pupa_day3	PupaC
P3C2	Control	Pupa_day3	PupaC
P3C3	Control	Pupa_day3	PupaC
PP2C1	Control	Prepupa_day2	PrepupaC
PP2C2	Control	Prepupa_day2	PrepupaC
PP2C3	Control	Prepupa_day2	PrepupaC
L6C1	Control	Larva_day6	LarvaC
L6C2	Control	Larva_day6	LarvaC
L6C3	Control	Larva_day6	LarvaC
