ID,A1E1,A1E2,A1E3,A1E4,P3E1,P3E2,P3E3,P3E4,PP2E1,PP2E2,PP2E3,L6E1,L6E2,L6E3,L6E4,A1C1,A1C2,A1C3,P3C1,P3C2,P3C3,PP2C1,PP2C2,PP2C3,L6C1,L6C2,L6C3
MSTRG.9818,15,28,16,185,42,73,17,47,44,26,0,10,0,0,0,175,12,19,10,11,43,119,84,34,8,18,0
MSTRG.162,0,0,262,185,0,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0
rna-NR_034300.1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
MSTRG.699,1268,1203,1119,1558,1575,1831,788,1339,1478,557,1253,737,832,707,987,1379,1103,1020,888,1418,2201,2064,1798,2422,1542,1576,1191
MSTRG.698,3123,3625,4167,3850,6133,5383,2778,4440,4712,2326,3546,3028,2323,3587,3316,4336,4091,2654,4136,5713,6408,9217,7331,6877,3735,4140,3029
MSTRG.697,21463,31756,37722,29509,28301,33038,57570,21197,42536,54613,25712,36065,36480,38820,35975,19348,31510,23354,74162,24042,30158,56188,56978,55140,29784,45136,35849
MSTRG.696,218,338,329,291,209,271,169,138,175,196,112,184,175,217,87,453,360,329,283,134,275,454,206,203,231,125,152
MSTRG.695,82,74,76,53,67,69,91,20,69,52,21,29,49,34,32,53,143,87,72,35,88,115,52,69,9,28,35
MSTRG.694,5335,4684,6138,5118,7755,5651,5926,6238,5962,4348,4918,3848,2700,4368,3914,5369,5960,4301,10301,6557,6846,11038,9344,8444,3978,4844,3674
MSTRG.693,344,337,324,307,887,761,663,665,633,413,543,265,173,249,127,552,435,284,910,755,901,978,666,575,183,333,206
MSTRG.692,2459,2050,2740,2586,3273,2340,1829,2057,2585,1787,2070,1780,1237,1833,1475,2222,2645,1763,3744,2965,2843,5242,3595,3406,2221,2192,1886
MSTRG.691,1903,2352,2649,2233,1558,1680,1315,1210,1187,1020,954,1175,1225,1478,1125,2511,2915,1709,2427,1536,2252,1796,1749,1684,1294,1679,1217
MSTRG.690,12,20,8,17,15,20,18,31,110,40,149,5,13,3,9,48,0,12,28,0,5,70,66,31,8,4,9
MSTRG.8294,19,33,5,74,0,5,0,0,0,0,0,0,0,0,0,83,59,41,25,90,153,0,3,20,4,0,0
MSTRG.8829,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.153,31,62,28,10,33,27,19,11,0,9,0,15,3,11,0,40,28,35,0,6,31,0,10,18,5,26,0
MSTRG.9842,5459,6716,5919,7751,7639,9848,4327,6364,6811,4949,3563,1902,2555,3123,3157,6704,4964,4972,4091,6541,6067,5926,5278,5754,2680,2776,2471
rna-NR_031515.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.13431,2092,2309,2715,2209,3237,2771,1504,1856,1911,1026,1684,3044,2818,3869,3712,3092,3002,1836,2504,2787,3497,3197,2688,2704,2818,3316,2836
