StringtieGene	honeybee.GeneName	dmel.symbol
MSTRG.1	LOC551580	Urm1
MSTRG.10	nbisL1-trna-5	/
MSTRG.100	LOC100576789	scrib
MSTRG.1000	LOC113218910	/
MSTRG.10000	/	/
MSTRG.10001	LOC113219114	/
MSTRG.10002	/	yellow-g2
MSTRG.10003	LOC100578194	CG18549
MSTRG.10004	LOC411535	RhoGAP92B
MSTRG.10005	/	/
MSTRG.10006	/	/
MSTRG.10007	LOC100578332	CG30089
MSTRG.10008	/	/
MSTRG.10009	/	/
MSTRG.1001	/	/
MSTRG.10010	LOC102656914	CG5013
MSTRG.10011	LOC413728	Sirt7
MSTRG.10012	LOC726770	ckn
MSTRG.10013	/	/
MSTRG.10014	/	/
MSTRG.10015	/	/
MSTRG.10016	/	/
MSTRG.10017	/	/
MSTRG.10018	LOC724287	stet
MSTRG.10019	/	/
MSTRG.1002	LOC113218632	/
MSTRG.10020	/	/
MSTRG.10021	/	/
MSTRG.10022	/	/
MSTRG.10023	/	/
MSTRG.10024	LOC113219127	/
MSTRG.10025	LOC550987	CG5276
MSTRG.10026	LOC409622	CG8613
MSTRG.10027	LOC107965288	HSPC300
MSTRG.10028	LOC102655440	NdufV3
MSTRG.10029	LOC107965233	spag4
MSTRG.1003	LOC552229	CG10175
MSTRG.10030	LOC551883	Ca-alpha1T
MSTRG.10031	LOC102653967	/
MSTRG.10032	LOC102655203	/
MSTRG.10033	LOC100578030	Spn42Da
MSTRG.10034	LOC113219115	CG14230
MSTRG.10035	LOC102655983	CG6125
MSTRG.10036	LOC107965752	/
MSTRG.10037	LOC409841	Npl4
MSTRG.10038	LOC100577578	CG5071
MSTRG.10039	/	Cpr66D
MSTRG.1004	LOC107965163	CG10175
MSTRG.10040	CPR3	Cpr31A
MSTRG.10041	LOC100577766	/
MSTRG.10042	LOC727192	SMC6
MSTRG.10043	CPR2	Ccp84Ag
MSTRG.10044	CPR1	Ccp84Ad
MSTRG.10045	/	Cpr64Ab
MSTRG.10046	CPR4	Cpr64Aa
MSTRG.10047	/	/
MSTRG.10048	LOC410134	bves
MSTRG.10049	LOC724715	/
MSTRG.1005	/	/
MSTRG.10050	LOC724670	snama
MSTRG.10051	/	/
MSTRG.10052	LOC102654871	SCCRO3
MSTRG.10053	LOC552814	obe
MSTRG.10054	LOC102654700	CG8031
MSTRG.10055	LOC551635	CG16953
MSTRG.10056	Rga	Rga
MSTRG.10057	LOC552823	Rga
MSTRG.10058	/	/
MSTRG.10059	LOC551668	raptor
MSTRG.1006	LOC102656640	/
MSTRG.10060	LOC550926	wun
MSTRG.10061	/	/
MSTRG.10062	/	/
MSTRG.10063	LOC550884	Sgsh
MSTRG.10064	LOC409494	CG8778
MSTRG.10065	/	/
MSTRG.10066	/	/
MSTRG.10067	LOC412536	Spn43Ab
MSTRG.10068	LOC552680	Irbp
MSTRG.10069	LOC100577649	Klp61F
MSTRG.1007	/	/
MSTRG.10070	/	/
MSTRG.10071	LOC412346	Vps52
MSTRG.10072	LOC100579022	CG17717
MSTRG.10073	LOC412222	CG43333
MSTRG.10074	LOC551140	Stam
MSTRG.10075	/	/
MSTRG.10076	/	/
MSTRG.10077	LOC552154	slf
MSTRG.10078	/	Clect27
MSTRG.10079	LOC727205	l(2)37Cd
MSTRG.1008	/	/
MSTRG.10080	LOC100578112	CG9541
MSTRG.10081	LOC551483	fwe
MSTRG.10082	LOC724622	CG9727
MSTRG.10083	/	/
MSTRG.10084	LOC412278	gig
MSTRG.10085	LOC550881	MED8
MSTRG.10086	LOC100578723	CG3107
MSTRG.10087	LOC107965805	/
MSTRG.10088	LOC411719	Tgt
MSTRG.10089	LOC409178	YME1L
MSTRG.1009	/	/
MSTRG.10090	LOC411718	Kpc2
MSTRG.10091	LOC724527	CG10874
MSTRG.10092	LOC551148	CG4593
MSTRG.10093	/	/
MSTRG.10094	LOC413827	Rab40
MSTRG.10095	LOC102655030	Lamtor2
MSTRG.10096	LOC552480	inc
MSTRG.10097	/	/
MSTRG.10098	LOC552085	CG6195
